Unnamed: 0,STATION,DATE,"Nitrogen, Total Kjeldahl (TKN)",pH (lab),"Phosphorus, Total",Nitrates (Nitrate + Nitrite),"Conductivity, Specific","Solids, Suspended (TSS)","Chloride, Total",Nitrite,"Oxygen, Dissolved",pH (field),"Conductivity, Specific (Field)","Depth, Sample (Field)","Oxygen, Dissolved (% Saturation)","Conductivity, Ambient",Chloride (Field),Nitrate,"Carbon, Dissolved Organic (DOC)","Conductivity, Estimated",Nitrogen; total,Nitrogen; nitrite,Nitrogen; nitrate+nitrite,"Carbon, Dissolved Inorganic (DIC)",Conductivity (Calculated),LATITUDE,LONGITUDE,Phosphorus,Nitrogen
0,6008000602,1-19-2010,0.41,8.25,0.026,0.783,4130.0,15.1,1230.0,0.098,14.59,7.84,4328.0,240.0,104.4,,,,,,,,,,,43.60505563875,-79.55975310668,,
1,6008000602,1-20-2009,0.7,8.17,0.05,,10500.0,2.0,3330.0,0.047,15.0,8.0,10678.0,380.0,107.0,,,1.1,11.0,,,,,,,43.60505563875,-79.55975310668,,
2,6008000602,1-20-2015,1.15,8.02,0.137,,7030.0,5.2,2280.0,,19.9,7.92,7060.0,350.0,139.3,,,,,,2.29,0.08,1.05,,,43.60505563875,-79.55975310668,,
3,6008000602,1-20-2016,,8.1,0.1738,,3730.0,3.9,1030.0,,14.68,8.24,3841.0,190.0,102.4,,,,,,2.12,0.019,1.87,,,43.60505563875,-79.55975310668,,
4,6008000602,1-21-2014,0.97,8.24,0.043,1.26,6920.0,4.1,2120.0,0.044,17.7,7.89,7155.0,750.0,123.7,,,,,,1.9,,,,,43.60505563875,-79.55975310668,,
5,6008000602,1-21-2020,,8.26,0.0247,,5400.0,3.7,1640.0,,14.63,8.21,5584.0,105.0,102.9,,,,3.6,,,0.036,1.94,59.4,,43.60505563875,-79.55975310668,,
6,6008000602,1-23-2019,,7.96,0.138,,13400.0,83.2,4720.0,,12.71,6.27,14053.0,110.0,92.7,,,,,,2.14,0.052,1.47,,,43.60505563875,-79.55975310668,,
7,6008000602,1-24-2007,0.36,8.32,0.04,,5610.0,3.0,1660.0,0.839,16.0,8.0,5389.0,170.0,112.0,,,1.72,6.2,,,,,,,43.60505563875,-79.55975310668,,
8,6008000602,1-24-2013,0.4,8.24,0.02,2.22,3160.0,45.8,771.0,0.014,16.2,7.93,3207.0,700.0,111.9,,,,,,,,,,,43.60505563875,-79.55975310668,,
9,6008000602,1-24-2018,,7.92,0.316,,2080.0,95.5,544.0,,14.83,8.26,2087.0,200.0,102.1,,,,,,2.14,0.05,1.69,,,43.60505563875,-79.55975310668,,
10,6008000602,1-25-2012,0.77,8.37,0.085,0.967,2500.0,34.4,690.0,0.041,19.0,8.14,2474.0,265.0,134.6,,,,,,,,,,,43.60505563875,-79.55975310668,,
11,6008000602,1-25-2017,,8.25,0.1348,,2610.0,6.0,663.0,,13.61,8.31,2625.0,390.0,101.8,,,,,,4.75,0.033,4.67,,,43.60505563875,-79.55975310668,,
12,6008000602,1-26-2005,,,,,,,,,,,,,,,,,,,,,,,,43.60505563875,-79.55975310668,,
13,6008000602,1-27-2004,,,,,,,,,,,,,,,,,,,,,,,,43.60505563875,-79.55975310668,,
14,6008000602,1-27-2006,0.671,8.22,0.04,,2790.0,4.0,679.0,0.12,19.0,7.0,2835.0,160.0,134.0,,,2.06,8.5,,,,,,,43.60505563875,-79.55975310668,,
15,6008000602,1-27-2011,0.65,8.48,0.028,0.995,14000.0,4.2,5410.0,0.149,15.06,7.87,14605.0,440.0,108.0,,,,,,,,,,,43.60505563875,-79.55975310668,,
16,6008000602,1-30-2008,1.83,8.08,0.31,,4570.0,139.0,1420.0,0.12,17.0,8.0,4675.0,120.0,122.0,,,1.57,7.1,,,,,,,43.60505563875,-79.55975310668,,
17,6008000602,10-16-2006,0.63,8.21,0.023,1.21,1200.0,3.5,242.0,0.015,23.6,8.0,1169.0,235.0,98.0,1169.0,,,,,,,,,,43.60505563875,-79.55975310668,,
18,6008000602,10-18-2004,0.44,8.19,0.045,0.571,1060.0,9.7,210.0,0.016,22.28,8.0,960.0,210.0,101.0,959.0,,,,,,,,,,43.60505563875,-79.55975310668,,
19,6008000602,10-18-2005,0.58,8.16,0.036,0.822,1050.0,8.8,236.0,0.025,22.34,8.0,773.0,150.0,109.0,773.0,,,,,,,,,,43.60505563875,-79.55975310668,,
20,6008000602,10-19-2016,,,,,,,,,10.52,8.29,1787.0,200.0,108.0,,,,,,,,,,,43.60505563875,-79.55975310668,,
21,6008000602,10-20-2010,0.44,8.36,0.015,0.359,1390.0,1.5,318.0,0.007,11.28,8.22,1378.0,255.0,99.7,,,,,,,,,,,43.60505563875,-79.55975310668,,
22,6008000602,10-20-2016,,8.37,0.2,,1830.0,2.0,401.0,,,,,,,,,,,,0.48,0.02,0.213,,,43.60505563875,-79.55975310668,,
23,6008000602,10-21-2015,,8.35,0.0436,,1860.0,1.9,419.0,,10.43,8.26,1807.0,270.0,95.3,,,,,,0.43,0.01,0.031,,,43.60505563875,-79.55975310668,,
24,6008000602,10-21-2020,,8.09,0.108,,711.0,51.4,143.0,,20.55,7.67,685.0,285.0,195.9,,,,4.1,,,0.028,0.495,22.9,,43.60505563875,-79.55975310668,,
