"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus,STATION,LATITUDE,LONGITUDE
131,300,0.003,1,11.9,0.47,6008000602,43.60505564,-79.55975311
99,340,0.049,0.37,4.8,0.31,6008000602,43.60505564,-79.55975311
120,350,0.009,0.51,4.6,0.33,6008000602,43.60505564,-79.55975311
118.7,330,0.047,0.45,25.2,0.47,6008000602,43.60505564,-79.55975311
91.7,130,0.011,1.83,241,0.51,6008000602,43.60505564,-79.55975311
97.9,635,0.033,0.63,64.2,0.47,6008000602,43.60505564,-79.55975311
115,300,0.005,0.44,5.5,0.43,6008000602,43.60505564,-79.55975311
147.9,410,0.008,0.54,10.5,0.47,6008000602,43.60505564,-79.55975311
119.3,210,0.004,0.49,2.9,0.28,6008000602,43.60505564,-79.55975311
104.1,285,0.011,0.33,1.6,0.2,6008000602,43.60505564,-79.55975311
104.9,210,0.011,0.09,3.5,0.22,6008000602,43.60505564,-79.55975311
107,210,0.029,1.47,34.4,0.5,6008000602,43.60505564,-79.55975311
121,175,0.056,0.34,2.2,0.21,6008000602,43.60505564,-79.55975311
128.2,260,0.013,0.56,13.8,0.47,6008000602,43.60505564,-79.55975311
106,100,0.009,0.45,2.7,0.27,6008000602,43.60505564,-79.55975311
168.8,255,0.028,0.47,2.2,0.22,6008000602,43.60505564,-79.55975311
108,230,0.019,0.28,8.4,0.46,6008000602,43.60505564,-79.55975311
108.4,500,0.034,0.74,70.9,0.47,6008000602,43.60505564,-79.55975311
108.9,90,0.007,0.39,6.8,0.46,6008000602,43.60505564,-79.55975311
102.7,150,0.013,1.3,6.3,0.49,6008000602,43.60505564,-79.55975311
108,200,0.055,0.39,4.6,0.31,6008000602,43.60505564,-79.55975311
124,180,0.007,0.43,4.2,0.3,6008000602,43.60505564,-79.55975311
128.4,135,0.024,0.36,1.5,0.19,6008000602,43.60505564,-79.55975311
108,440,0.028,0.02,14.5,0.46,6008000602,43.60505564,-79.55975311
139.4,340,0.039,0.21,5.7,0.43,6008000602,43.60505564,-79.55975311
118.1,285,0.061,0.3,4.4,0.29,6008000602,43.60505564,-79.55975311
108,180,0.02,0.69,9.5,0.48,6008000602,43.60505564,-79.55975311
143.5,165,0.006,0.68,15.2,0.47,6008000602,43.60505564,-79.55975311
124.2,210,0.027,0.48,2.6,0.25,6008000602,43.60505564,-79.55975311
86,145,0.005,0.47,12.4,0.45,6008000602,43.60505564,-79.55975311
117.9,230,0.005,2.25,4,0.42,6008000602,43.60505564,-79.55975311
131,235,0.011,0.16,111,0.46,6008000602,43.60505564,-79.55975311
115,390,0.023,0.48,26.2,0.47,6008000602,43.60505564,-79.55975311
117.9,135,0.016,0.42,2.2,0.21,6008000602,43.60505564,-79.55975311
146.6,240,0.034,0.39,4.3,0.3,6008000602,43.60505564,-79.55975311
132.7,300,0.011,0.55,35,0.47,6008000602,43.60505564,-79.55975311
124.4,365,0.028,0.41,45.5,0.47,6008000602,43.60505564,-79.55975311
130,180,0.017,0.45,2.7,0.27,6008000602,43.60505564,-79.55975311
113,270,0.012,0.35,6.9,0.46,6008000602,43.60505564,-79.55975311
114.7,220,0.011,0.53,4.6,0.34,6008000602,43.60505564,-79.55975311
129,290,0.014,0.36,2.3,0.21,6008000602,43.60505564,-79.55975311
135,240,0.013,0.17,5.4,0.42,6008000602,43.60505564,-79.55975311
154.3,140,0.002,0.54,1.7,0.27,6008000602,43.60505564,-79.55975311
