Year,STATION,pH,250mLandCover_Natural,DissolvedOxygen,Population,Chloride,Nitrite,TotalSuspendedSolids,Nitrogen_Kjeldahl,TotalPhosphorus
2002,6009701102,8.0,0.0,18.03,0.0,209.0,0.003,2.3,0.39,0.029289849999999507
2002,6008200302,8.0,0.0,10.0,0.0,92.4,0.049,116.0,1.57,0.20986329999999928
2002,6008000602,8.0,0.0,18.22,0.0,115.0,0.047,45.9,1.27,0.1213078500000007
2002,6008000702,8.0,0.0,17.55,0.0,168.0,0.009000000000000001,6.8,0.72,0.044909150000000564
2002,6009701802,8.0,0.0,27.92,0.0,42.7,0.033,2.4,0.48,0.03371529999999976
2002,6009701102,8.0,0.0,29.99,0.0,78.1,0.011000000000000001,2.5,0.36,0.02799379999999969
2002,6008310302,8.0,0.0,27.8,0.0,175.0,0.011000000000000001,8.2,0.48,0.04113370000000006
2002,6008301802,8.0,0.0,27.6,0.0,44.9,0.005,3.1,0.32,0.03225049999999996
2002,6008310402,8.0,0.0,27.57,0.0,40.0,0.004,2.6,0.36,0.031590549999999655
2002,6008300902,8.0,0.0,26.9,0.0,20.9,0.008,3.8,0.22,0.034341499999999865
2002,6008000702,8.0,0.0,32.34,0.0,264.0,0.011000000000000001,23.1,0.35,0.041856450000000094
2002,6008200302,8.0,0.0,30.09,0.0,747.0,0.0559999999999999,1.8,0.46,0.02948885000000002
2002,6008000602,8.0,0.0,57.84,0.0,486.0,0.0289999999999999,2.7,0.39,0.029760749999999555
2002,6009701102,8.0,0.0,35.53,0.0,169.0,0.013000000000000001,8.0,0.39,0.0411463000000001
2002,6009701802,8.0,0.0,40.03,0.0,63.0,0.009000000000000001,4.6,0.42,0.03591569999999992
2003,6008000602,9.0,0.0,24.1,0.0,815.0,0.0279999999999999,7.4,0.6,0.04696704999999996
2003,6008000702,8.0,0.0,22.0,0.0,487.0,0.019,2.1,0.68,0.039968349999999875
2003,6008200302,9.0,0.0,27.7,0.0,1180.0,0.034,6.5,0.63,0.043508349999999966
2003,6008300902,8.0,0.0,28.3,0.0,28.7,0.013000000000000001,59.8,0.57,0.07987229999999947
2003,6008310402,8.0,0.0,26.28,0.0,53.7,0.0069999999999999,11.3,0.47,0.0482196500000001
2003,6008301802,8.0,0.0,26.3,0.0,48.4,0.0069999999999999,5.5,0.38,0.03633319999999996
2003,6008310302,8.0,0.0,26.08,0.0,196.0,0.055,297.0,1.19,0.30385449999999964
2003,6009701102,8.0,0.0,19.89,0.0,160.0,0.024,16.2,0.59,0.049865400000000275
2003,6008000602,8.0,0.0,20.39,0.0,316.0,0.039,8.5,0.67,0.0491709500000002
2003,6008300902,8.0,0.0,23.73,0.0,33.6,0.005,2.7,0.35,0.03229904999999956
2003,6008301802,8.0,0.0,19.96,0.0,51.4,0.006,8.4,0.45,0.04690420000000017
2003,6009701802,8.0,0.0,21.75,0.0,78.9,0.02,8.4,0.61,0.04325735000000001
2003,6008200302,8.0,0.0,21.64,0.0,334.0,0.061,19.6,0.82,0.06303444999999952
