Nitrite,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,TotalSuspendedSolids
0.003,0,0.511,0.39,2.3
0.049,0,2.21,1.57,116
0.009,0,0.838,0.72,6.8
0.047,0,1.915,1.27,45.9
0.011,0,0.959,0.36,2.5
0.033,0,1.348,0.48,2.4
0.005,0,0.863,0.32,3.1
0.008,0,0.428,0.22,3.8
0.004,0,0.601,0.36,2.6
0.011,0,1.981,0.48,8.2
0.011,0,1.099,0.35,23.1
0.029,0,1.429,0.39,2.7
0.056,0,1.606,0.46,1.8
0.013,0,1.384,0.39,8
0.009,0,1.629,0.42,4.6
0.028,0,1.399,0.6,7.4
0.019,0,1.492,0.68,2.1
0.034,0,1.31,0.63,6.5
0.007,0,0.721,0.38,5.5
0.013,0,0.778,0.57,59.8
0.055,0,1.949,1.19,297
0.007,0,0.751,0.47,11.3
0.024,0,2.104,0.59,16.2
0.028,0,1.424,0.62,2.2
0.039,0,1.663,0.67,8.5
0.061,0,2.011,0.82,19.6
0.02,0,2.36,0.61,8.4
0.006,0,0.669,0.45,8.4
0.027,0,2.097,0.84,22.4
0.005,0,0.484,0.35,2.7
0.005,0,0.576,0.45,3.4
0.011,0,1.177,0.57,8.2
0.023,0,1.123,0.49,6.3
0.016,0,0.722,0.51,8.9
0.034,0,1.734,0.64,5.9
0.011,0,0.833,0.49,1.9
0.028,0,1.372,0.87,37.1
0.017,0,0.502,0.3,8.9
0.012,0,0.741,0.54,10.3
0.011,0,0.689,0.45,4.7
0.014,0,1.054,0.64,31.1
0.013,0,1.217,0.61,3.4
0.002,0,0.577,0.57,6.2
0.01,0,0.856,0.5,0.5
0.005,0,0.548,0.38,3.7
0.007,0,0.361,0.21,11.2
0.005,0,0.447,0.32,2.1
0.009,0,0.791,0.45,5.1
0.006,0,0.498,0.36,7.8
0.001,0,0.296,0.29,2
0.006,0,0.782,0.42,6.3
0.015,0,0.645,0.45,4.2
0.008,0,0.581,0.4,4.2
0.011,0,0.408,0.22,6.2
0.009,0,0.774,0.54,34.8
0.005,0,0.458,0.36,2.1
0.012,0,0.774,0.46,21.3
0.005,0,1.365,1.21,54.7
0.027,0,1.835,0.9,109
0.008,0,1.181,0.87,60
0.018,0,2.468,0.73,13.7
0.033,0,1.601,0.69,34
0.016,0,1.966,0.62,11.2
0.014,0,1.664,0.6,11.6
0.018,0,1.918,0.64,4.1
0.015,0,1.272,0.59,11.9
0.007,0,0.628,0.35,2.2
0.005,0,0.578,0.48,3.7
0.012,0,1.214,0.52,2.5
0.01,0,0.8,0.35,9.8
0.025,0,1.09,0.4,5.5
0.043,0,1.323,0.49,11.7
0.016,0,1.996,0.65,7.1
0.043,0,4.913,0.75,12.3
0.047,0,3.317,0.6,10.2
0.05,0,1.9,0.61,14.1
0.017,0,1.202,0.4,8
0.011,0,0.867,0.42,4.4
0.011,0,0.712,0.43,4.4
0.055,0,5.565,0.7,12.6
0.018,0,2.268,0.42,5.9
0.017,0,3.287,0.54,4.3
0.039,0,2.319,0.55,5.6
0.045,0,4.985,1.2,29.1
0.047,0,3.857,1.32,20.3
0.007,0,0.698,0.39,9.6
0.003,0,0.842,0.39,5.8
0.022,0,1.812,0.6,10.6
