"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)"
104.4,240.0,0.098,0.41,15.1
107.0,380.0,0.047,0.7,2.0
123.7,750.0,0.044,0.97,4.1
112.0,170.0,0.839,0.36,3.0
111.9,700.0,0.014,0.4,45.8
134.6,265.0,0.041,0.77,34.4
134.0,160.0,0.12,0.671,4.0
108.0,440.0,0.149,0.65,4.2
122.0,120.0,0.12,1.83,139.0
98.0,235.0,0.015,0.63,3.5
101.0,210.0,0.016,0.44,9.7
109.0,150.0,0.025,0.58,8.8
99.7,255.0,0.007,0.44,1.5
125.0,290.0,0.019,0.36,19.6
122.6,170.0,0.016,0.48,3.8
133.0,230.0,0.008,0.45,2.0
121.4,290.0,0.013,0.19,1.8
114.2,400.0,0.04,0.99,34.6
85.0,430.0,0.025,0.4,5.5
124.0,180.0,0.014,0.52,4.4
115.0,160.0,0.035,0.82,19.8
122.0,300.0,0.01,0.32,7.7
172.4,250.0,0.031,0.48,3.9
122.7,305.0,0.011,0.54,4.0
151.7,350.0,0.011,0.34,1.7
98.0,190.0,0.027,0.41,1.6
126.0,270.0,0.013,0.43,4.3
85.0,190.0,0.026,0.62,23.2
96.6,270.0,0.023,0.4,2.9
95.0,345.0,0.047,0.6,10.2
112.8,220.0,0.009,0.47,3.6
125.0,100.0,0.051,0.88,110.0
145.0,260.0,0.029,0.47,3.3
97.0,180.0,0.061,1.12,11.0
118.0,330.0,0.02,0.44,3.1
111.0,290.0,0.034,1.36,184.0
104.0,200.0,0.037,0.66,24.5
108.4,500.0,0.072,0.74,70.9
116.7,700.0,0.028,0.76,5.7
121.0,180.0,0.246,0.61,10.0
135.8,315.0,0.013,0.41,5.2
145.0,310.0,0.065,0.562,2.0
136.7,230.0,0.047,0.48,3.0
123.4,300.0,0.094,0.73,9.1
118.0,465.0,0.04,0.56,8.4
146.4,200.0,0.097,0.86,30.8
130.0,310.0,0.058,0.81,19.0
105.0,115.0,0.306,1.32,2.0
111.0,80.0,0.244,0.08,28.0
142.5,355.0,0.055,0.64,63.7
120.3,215.0,0.047,0.7,11.9
132.6,290.0,0.036,0.9,21.2
103.0,140.0,0.085,2.23,276.0
121.0,160.0,0.031,0.716,3.0
128.0,185.0,0.0009,0.74,13.0
122.8,290.0,0.033,0.51,6.5
112.9,295.0,0.037,0.61,8.6
142.3,415.0,0.05,0.54,214.0
134.0,280.0,0.017,0.51,3.5
109.0,390.0,0.029,0.53,5.0
125.0,160.0,0.029,0.838,2.0
109.2,245.0,0.036,0.44,19.7
108.0,490.0,0.047,1.32,20.3
119.1,540.0,0.04,1.7,298.0
112.0,230.0,0.028,0.59,3.8
132.1,285.0,0.036,0.49,2.5
102.0,245.0,0.038,0.8,11.6
131.8,275.0,0.015,0.44,3.6
100.0,250.0,0.07,2.88,349.0
156.0,410.0,0.026,0.6,5.2
117.0,210.0,0.018,0.5,3.9
130.1,360.0,0.021,0.65,2.0
109.7,530.0,0.054,1.95,207.0
128.7,200.0,0.024,0.66,5.7
105.5,350.0,0.021,0.64,4.6
78.0,165.0,0.011,0.52,1.9
132.2,130.0,0.014,0.5,4.7
134.9,400.0,0.044,0.71,5.5
120.0,110.0,0.02,0.72,4.7
103.0,260.0,0.019,0.55,3.3
116.1,255.0,0.017,0.5,4.4
148.0,180.0,0.008,0.46,8.1
137.0,380.0,0.021,0.49,6.3
161.0,150.0,0.02,0.65,6.7
106.0,400.0,0.014,0.43,3.0
108.2,310.0,0.038,0.9,54.1
143.0,190.0,0.012,0.61,4.3
141.0,180.0,0.01,0.34,3.1
99.0,350.0,0.026,1.15,230.0
99.6,235.0,0.038,1.02,15.5
88.0,445.0,0.012,0.4,0.8
139.4,330.0,0.01,0.47,13.8
98.0,160.0,0.012,0.53,3.2
91.0,420.0,0.009,0.49,1.1
147.0,255.0,0.014,0.52,2.2
142.7,240.0,0.007,0.53,4.2
142.9,260.0,0.014,0.51,3.2
113.0,215.0,0.016,0.69,10.3
126.0,240.0,0.018,0.79,14.8
122.8,300.0,0.005,0.52,1.5
104.0,200.0,0.007,0.83,13.6
112.0,400.0,0.07,1.33,77.9
127.5,240.0,0.007,0.48,3.2
131.0,355.0,0.012,0.4,3.6
130.0,180.0,0.006,0.45,2.7
112.0,195.0,0.018,0.58,15.4
166.0,245.0,0.011,0.41,1.9
131.5,230.0,0.016,0.39,3.0
144.3,270.0,0.011,0.4,4.8
101.5,340.0,0.008,0.38,6.4
142.0,300.0,0.009,0.45,5.1
122.1,225.0,0.009,0.36,8.2
114.4,385.0,0.011,0.65,1.0
88.0,300.0,0.005,0.51,4.2
97.0,310.0,0.01,0.39,3.8
106.0,380.0,0.013,0.42,1.4
152.0,285.0,0.018,0.41,3.3
96.0,100.0,0.006,0.38,9.0
117.7,195.0,0.011,0.51,3.6
122.7,270.0,0.036,1.0,73.4
105.7,255.0,0.005,0.46,1.7
117.0,290.0,0.02,0.77,4.1
65.5,200.0,0.008,0.41,3.5
105.9,520.0,0.013,0.64,9.2
80.0,240.0,0.027,1.07,29.6
151.6,295.0,0.008,0.51,1.1
96.0,500.0,0.014,0.6,11.6
104.0,230.0,0.063,0.65,2.0
97.4,160.0,0.014,0.35,0.9
101.5,360.0,0.017,0.57,2.0
171.7,165.0,0.059,0.68,2.7
125.8,320.0,0.015,0.29,4.8
111.0,285.0,0.017,0.43,1.7
109.0,250.0,0.33,0.27,2.0
112.1,300.0,0.042,0.77,31.8
94.6,300.0,0.055,2.46,288.0
130.0,475.0,0.027,2.5860000000000003,11.0
99.6,240.0,0.03,1.01,8.0
111.7,255.0,0.011,0.21,2.4
126.0,400.0,0.112,0.87,14.0
96.0,230.0,0.015,0.98,3.2
106.0,360.0,0.001,0.55,4.3
110.0,340.0,0.018,0.67,8.3
113.9,200.0,0.011,1.06,4.3
119.0,150.0,0.005,0.39,0.9
118.4,245.0,0.018,0.57,13.5
117.1,215.0,0.004,0.52,2.1
102.0,240.0,0.027,1.19,118.0
133.6,185.0,0.014,0.24,5.1
126.1,150.0,0.017,0.81,7.2
117.0,220.0,0.004,0.44,5.9
105.0,340.0,0.012,0.52,2.5
116.0,140.0,0.004,0.39,2.4
109.0,420.0,0.055,1.93,45.7
146.8,160.0,0.005,0.4,6.3
182.0,385.0,0.017,0.45,3.6
123.1,265.0,0.007,0.78,3.1
110.0,375.0,0.009,0.27,2.3
108.0,360.0,0.014,0.61,5.9
106.3,240.0,0.008,0.51,3.5
110.2,150.0,0.006,0.48,1.3
107.0,310.0,0.029,0.52,4.7
91.0,510.0,0.055,0.7,12.6
108.0,440.0,0.061,0.95,20.0
122.4,180.0,0.025,0.62,18.3
101.6,180.0,0.027,0.28,2.0
136.0,360.0,0.018,0.85,23.0
108.0,430.0,0.079,1.13,38.0
115.7,180.0,0.01,0.53,4.2
109.2,150.0,0.011,0.53,4.6
108.6,260.0,0.055,0.46,2.0
79.8,120.0,0.014,0.25,3.2
94.8,110.0,0.028,0.49,4.0
107.0,200.0,0.016,0.47,4.1
107.7,580.0,0.042,0.53,11.6
99.2,130.0,0.009,0.26,3.9
97.1,180.0,0.022,1.06,2.0
149.0,250.0,0.024,0.25,1.0
104.9,200.0,0.079,0.67,2.0
102.0,500.0,0.011,0.885,3.0
129.1,210.0,0.019,0.41,3.0
100.1,300.0,0.031,1.04,9.0
114.4,155.0,0.02,0.39,0.9
117.0,480.0,0.027,0.79,5.7
101.0,150.0,0.093,1.43,2.0
129.0,190.0,0.033,0.78,5.0
131.3,300.0,0.04,0.87,4.4
129.9,180.0,0.042,0.51,2.0
118.0,450.0,0.047,0.08,2.0
97.7,100.0,0.057,3.37,19.0
99.1,230.0,0.022,0.93,42.0
111.5,280.0,0.011,0.96,5.3
120.2,230.0,0.019,0.83,20.5
106.0,220.0,0.036,0.93,6.0
120.3,160.0,0.022,0.82,2.8
121.3,190.0,0.023,0.6,2.0
113.8,270.0,0.01,0.56,2.9
111.0,240.0,0.016,0.63,10.6
141.0,205.0,0.0009,0.77,6.0
136.7,225.0,0.014,0.44,7.4
137.0,310.0,0.026,0.63,2.6
113.6,110.0,0.022,1.01,4.0
186.0,420.0,0.026,0.711,25.0
134.7,270.0,0.013,0.62,4.3
150.3,300.0,0.016,0.23,4.5
107.0,330.0,0.023,0.63,2.9
126.9,210.0,0.014,0.74,5.2
105.0,490.0,0.045,1.2,29.1
109.0,180.0,0.027,0.68,11.6
120.2,120.0,0.015,0.4,4.1
107.0,360.0,0.06,1.16,6.9
111.0,240.0,0.021,0.53,3.0
128.6,190.0,0.019,0.43,8.0
129.0,320.0,0.028,0.66,6.7
111.6,280.0,0.041,1.09,11.6
136.0,330.0,0.012,0.58,9.1
139.4,275.0,0.024,0.99,2.0
137.0,320.0,0.011,0.54,5.9
109.7,190.0,0.07,0.98,8.6
132.9,245.0,0.018,0.83,3.2
102.8,450.0,0.035,0.85,4.2
154.3,140.0,0.006,0.54,1.7
131.0,195.0,0.023,0.78,2.7
126.0,350.0,0.033,0.7,3.9
105.7,190.0,0.016,0.46,2.3
160.7,190.0,0.02,0.84,2.2
110.0,430.0,0.027,0.86,10.6
171.0,380.0,0.001,0.55,11.7
139.7,240.0,0.015,0.71,2.7
175.3,130.0,0.015,0.59,3.9
163.0,240.0,0.023,0.57,1.9
110.0,310.0,0.01,0.45,2.2
189.0,350.0,0.009,0.67,13.0
114.3,300.0,0.051,0.79,6.4
180.7,140.0,0.006,0.5,2.3
122.0,460.0,0.007,0.49,2.7
131.0,400.0,0.025,0.8,7.6
140.0,330.0,0.021,0.61,4.8
149.8,290.0,0.008,0.5,4.9
159.8,150.0,0.003,0.59,2.6
137.0,320.0,0.006,0.54,3.2
147.0,190.0,0.004,0.49,4.8
103.0,480.0,0.032,1.1,75.8
122.2,450.0,0.004,0.59,4.7
103.6,190.0,0.048,0.91,18.8
133.0,360.0,0.005,0.45,3.6
112.3,430.0,0.018,0.74,6.0
112.0,135.0,0.002,0.28,7.0
131.0,300.0,0.012,1.0,11.9
95.6,165.0,0.001,0.49,2.7
90.6,340.0,0.003,0.45,3.1
153.0,190.0,0.003,0.46,1.6
106.7,160.0,0.017,0.49,14.1
144.0,275.0,0.004,0.59,11.6
106.3,290.0,0.011,0.42,5.6
120.0,400.0,0.001,0.29,2.0
93.7,350.0,0.006,0.73,4.7
124.0,220.0,0.006,0.39,5.8
94.0,200.0,0.041,1.6,127.0
124.0,235.0,0.007,0.53,1.0
117.9,130.0,0.006,0.5,4.3
152.0,290.0,0.01,0.47,3.7
143.0,440.0,0.006,0.42,8.5
120.0,350.0,0.007,0.51,4.6
110.3,210.0,0.006,0.75,1.4
126.0,120.0,0.004,0.78,5.1
106.7,285.0,0.002,0.8,1.0
118.8,220.0,0.014,0.5,39.7
98.0,230.0,0.014,1.03,3.4
116.0,240.0,0.008,0.63,13.5
139.0,140.0,0.005,0.92,2.4
88.0,380.0,0.018,0.73,13.7
106.8,230.0,0.044,0.77,21.4
113.0,510.0,0.08,2.11,9.0
145.71,150.0,0.093,1.4,10.8
119.0,150.0,0.14,0.51,2.0
119.5,720.0,0.025,0.5,25.2
130.5,310.0,0.066,0.82,80.9
137.0,190.0,0.072,1.002,2.0
113.9,330.0,0.155,3.75,7.7
130.0,110.0,0.109,2.41,320.0
106.0,220.0,0.037,1.5790000000000002,6.8
105.0,175.0,0.015,0.59,4.5
110.0,170.0,0.096,0.75,35.6
100.0,145.0,0.013,0.52,1.4
124.5,110.0,0.014,0.31,57.0
116.3,100.0,0.026,0.53,15.0
134.0,170.0,0.049,1.13,7.9
114.0,120.0,0.061,0.96,49.0
113.0,300.0,0.044,0.8,17.5
86.0,340.0,0.043,0.49,11.7
