,latitude,longitude,pH,Month,Year,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -3day Total,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,TotalPhosphorus
2,43.87148426502804,-79.06518285587957,8.54,7,2016,2016,0.0,0.0,0.0,0.29100000000000004,0.21,0.0187
3,43.894292013999994,-78.6750209809,8.31,11,2012,2011,0.0,0.0,0.0,1.342,0.25,0.01
4,43.911565263999904,-78.78870535599991,8.0,5,2012,2011,0.0,0.0,0.0,1.449,0.81,0.05
5,43.961447014099996,-79.1256539813,8.33,9,2014,2016,0.0,18.5,18.1,0.42,0.42,0.014
6,43.88073326399999,-78.821483231,8.37,7,2011,2011,0.0,23.6,0.0,1.557,0.65,0.041
7,43.9336066389999,-78.9618889811,8.39,5,2008,2006,0.0,14.2,0.0,0.6659999999999999,0.02,0.036000000000000004
8,43.85091976432907,-79.07581985566414,8.58,9,2015,2016,0.0,4.8,0.6,0.721,0.35,0.0207
14,43.961447013814315,-79.12565398133975,7.84,1,2015,2016,0.0,2.0,2.0,0.845,0.52,0.048
17,43.86966251719599,-79.07429473168425,8.31,5,2017,2016,0.0,1.1,0.6,0.601,0.49,0.0122
19,43.9462080141,-78.9036611061,8.45,7,2005,2006,0.0,8.4,0.0,0.77,0.18,0.011
20,43.87148426502804,-79.06518285587957,8.04,1,2015,2016,0.0,1.8,0.8,1.02,0.48,0.026
23,43.9698207641,-78.7474947309,8.22,5,2012,2011,0.0,0.0,0.0,0.8460000000000001,0.29,0.01
24,43.826445953885724,-79.0888364051583,7.91,4,2015,2016,13.8,43.40000000000001,43.40000000000001,1.925,1.26,0.315
26,43.85091976432907,-79.07581985566414,8.4,10,2019,2016,11.4,11.4,11.4,1.233,0.67,0.01
28,43.8681977773999,-78.84614457339991,8.35,5,2014,2016,1.2,3.2,3.2,1.28,0.48,0.023
29,43.8665555139999,-78.83083585599991,8.35,7,2007,2006,0.0,11.6,0.0,1.148,0.53,0.049
30,43.9462080141,-78.9036611061,8.37,4,2009,2011,5.1,25.1,5.1,1.5139999999999998,0.35,0.016
32,43.866872015284024,-79.08601360640442,8.21,1,2017,2016,0.0,0.4,0.0,1.7409999999999999,0.36,0.0197
33,43.87148426502804,-79.06518285587957,8.29,10,2016,2016,0.6,5.799999999999999,5.199999999999998,0.4410000000000001,0.2,0.0237
35,43.9462080141,-78.9036611061,8.48,7,2011,2011,0.0,23.6,0.0,0.922,0.22,0.005
37,43.9698207641,-78.7474947309,8.33,9,2010,2011,0.0,10.8,0.0,0.912,0.31,0.019
39,43.839189888999904,-79.03983860619991,8.35,7,2013,2011,1.4,7.6,6.199999999999998,0.7709999999999999,0.38,0.016
40,43.9336066389999,-78.9618889811,8.47,7,2005,2006,0.0,8.4,0.0,1.115,0.33,0.012
42,43.8665555139999,-78.83083585599991,8.19,11,2005,2006,0.0,39.1,19.1,3.741,1.03,0.127
44,43.86966251719599,-79.07429473168425,6.65,12,2018,2016,0.0,0.0,0.0,1.347,0.75,0.0189
45,43.9462080141,-78.9036611061,8.45,6,2006,2006,1.0,18.8,2.8,0.985,0.22,0.018000000000000002
49,43.911565263999904,-78.78870535599991,8.66,9,2011,2011,18.0,18.0,18.0,1.1229999999999998,0.61,0.043
50,43.88073326399999,-78.821483231,8.31,5,2007,2006,0.0,0.0,0.0,2.3230000000000004,0.67,0.02
51,43.826445953885724,-79.0888364051583,8.94,2,2018,2016,10.0,19.4,19.4,2.4930000000000003,1.85,0.318
54,43.9336066389999,-78.9618889811,8.42,7,2003,2001,0.0,2.2,0.0,1.007,0.41,0.03
57,43.911565263999904,-78.78870535599991,8.2,8,2006,2006,3.4,3.4,3.4,2.044,0.81,0.115
60,43.803681746598656,-79.11029851493568,8.05,5,2018,2016,21.3,21.3,21.3,2.131,1.57,0.0849
62,43.803681746598656,-79.11029851493568,8.27,9,2017,2016,0.0,0.0,0.0,1.893,0.71,0.0156
64,43.839189888999904,-79.03983860619991,8.21,3,2013,2011,0.0,0.0,0.0,1.05,0.4,0.077
65,43.866872015284024,-79.08601360640442,8.3,6,2018,2016,6.8,6.8,6.8,0.696,0.49,0.0248
66,43.839189888999904,-79.03983860619991,8.38,4,2007,2006,0.0,5.5,0.0,1.022,0.4,0.021
67,43.9698207641,-78.7474947309,8.33,10,2011,2011,2.8,3.0,2.8,1.169,0.28,0.016
68,43.9698207641,-78.7474947309,8.44,9,2014,2016,5.2,7.2,5.2,0.84,0.32,0.015
69,43.839189888999904,-79.03983860619991,8.11,1,2015,2016,0.0,1.8,0.8,1.28,0.38,0.02
71,43.87148426502804,-79.06518285587957,8.3,4,2018,2016,0.0,0.0,0.0,1.382,0.7,0.07400000000000001
74,43.88073326399999,-78.821483231,8.23,5,2008,2006,0.0,14.2,0.0,1.1829999999999998,0.02,0.036000000000000004
79,43.87148426502804,-79.06518285587957,8.56,11,2016,2016,0.0,1.0,0.0,0.521,0.28,0.0209
80,43.8665555139999,-78.83083585599991,8.25,11,2012,2011,0.0,0.0,0.0,1.665,0.31,0.009000000000000001
81,43.826445953885724,-79.0888364051583,8.06,6,2019,2016,0.0,1.0,0.0,2.6430000000000002,0.48,0.0233
83,43.826445953885724,-79.0888364051583,7.66,9,2018,2016,0.0,27.6,6.6,1.3909999999999998,0.68,0.0391
