Nitrogen_Kjeldahl,TotalSuspendedSolids,Nitrate,Conductivity,DissolvedOxygen,pH,TotalNitrogen,Nitrite,Chloride,10mLandCover_AgriculturalExtraction,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -7day Total,Total Rain (mm) -56day Total,Total Rain (mm) -3day Total,Total Rain (mm) -28day Total,Total Rain (mm) -1day Total,Total Rain (mm) -14day Total,Month,Phosphorus
0.39,2.3,0.118,1360.0,18.03,8.0,0.511,0.003,209.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.2749464999999988
1.57,116.0,0.591,531.0,10.0,8.0,2.21,0.049,92.4,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6994629999999974
0.72,6.8,0.109,808.0,17.55,8.0,0.838,0.009,168.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6408694999999937
1.27,45.9,0.598,610.0,18.22,8.0,1.915,0.047,115.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.6964744999999963
0.36,2.5,0.588,637.0,29.99,8.0,0.959,0.011,78.1,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.30737659999999906
0.48,2.4,0.835,636.0,27.92,8.0,1.348,0.033,42.7,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.2891740999999992
0.32,3.1,0.538,575.0,27.6,8.0,0.863,0.005,44.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.42889599999999733
0.22,3.8,0.2,523.0,26.9,8.0,0.428,0.008,20.9,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5535844999999938
0.36,2.6,0.237,568.0,27.57,8.0,0.601,0.004,40.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.31907139999999806
0.48,8.2,1.49,1058.0,27.8,8.0,1.981,0.011,175.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6679449999999956
0.35,23.1,0.738,1532.0,32.34,8.0,1.099,0.011,264.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6754694999999928
0.39,2.7,1.01,2001.0,57.84,8.0,1.429,0.029,486.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.3301288999999986
0.46,1.8,1.09,2354.0,30.09,8.0,1.606,0.056,747.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.2503179
0.39,8.0,0.981,951.0,35.53,8.0,1.384,0.013,169.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.6443669999999947
0.42,4.6,1.2,683.0,40.03,8.0,1.629,0.009,63.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5725129999999939
0.6,7.4,0.771,3068.0,24.1,9.0,1.399,0.028,815.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6450269999999946
0.68,2.1,0.793,2050.0,22.0,8.0,1.492,0.019,487.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.2631390500000001
0.63,6.5,0.646,3577.0,27.7,9.0,1.31,0.034,1180.0,0,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.6448429999999944
