"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
131.0,300.0,0.003,1.0,11.9,0.4700139999999964
99.0,340.0,0.049,0.37,4.8,0.31425900000000095
120.0,350.0,0.009,0.51,4.6,0.32784399999999997
118.7,330.0,0.047,0.45,25.2,0.4674209999999962
91.7,130.0,0.011,1.83,241.0,0.5105799999999971
97.9,635.0,0.033,0.63,64.2,0.4734189999999957
115.0,300.0,0.005,0.44,5.5,0.4301959999999956
147.9,410.0,0.008,0.54,10.5,0.47430199999999484
119.3,210.0,0.004,0.49,2.9,0.28328200000000026
104.1,285.0,0.011,0.33,1.6,0.1957599999999992
104.9,210.0,0.011,0.09,3.5,0.22020000000000128
107.0,210.0,0.029,1.47,34.4,0.5035849999999967
121.0,175.0,0.056,0.34,2.2,0.20738799999999816
128.2,260.0,0.013,0.56,13.8,0.47329899999999575
106.0,100.0,0.009,0.45,2.7,0.2677790000000003
168.8,255.0,0.028,0.47,2.2,0.21585699999999777
108.0,230.0,0.019,0.28,8.4,0.4607109999999945
108.4,500.0,0.034,0.74,70.9,0.4736589999999957
108.9,90.0,0.007,0.39,6.8,0.4595849999999952
102.7,150.0,0.013,1.3,6.3,0.49188199999999627
108.0,200.0,0.055,0.39,4.6,0.30939800000000117
124.0,180.0,0.007,0.43,4.2,0.30014100000000177
128.4,135.0,0.024,0.36,1.5,0.1914679999999995
108.0,440.0,0.028,0.02,14.5,0.4629369999999969
139.4,340.0,0.039,0.21,5.7,0.4287289999999957
118.1,285.0,0.061,0.3,4.4,0.2932730000000014
108.0,180.0,0.02,0.69,9.5,0.48180599999999413
143.5,165.0,0.006,0.68,15.2,0.4736589999999957
124.2,210.0,0.027,0.48,2.6,0.2512169999999999
86.0,145.0,0.005,0.47,12.4,0.44760099999999653
117.9,230.0,0.005,2.25,4.0,0.42247600000000013
131.0,235.0,0.011,0.16,111.0,0.4633849999999969
115.0,390.0,0.023,0.48,26.2,0.4710659999999959
117.9,135.0,0.016,0.42,2.2,0.21296399999999788
146.6,240.0,0.034,0.39,4.3,0.29935000000000184
132.7,300.0,0.011,0.55,35.0,0.47329899999999575
124.4,365.0,0.028,0.41,45.5,0.46728799999999626
130.0,180.0,0.017,0.45,2.7,0.2677790000000003
113.0,270.0,0.012,0.35,6.9,0.4597399999999952
114.7,220.0,0.011,0.53,4.6,0.34125199999999917
129.0,290.0,0.014,0.36,2.3,0.21389099999999808
135.0,240.0,0.013,0.17,5.4,0.42470999999999653
154.3,140.0,0.002,0.54,1.7,0.2709409999999977
100.0,260.0,0.01,0.47,5.0,0.37915999999999894
115.0,130.0,0.005,1.37,26.3,0.501735999999996
110.8,250.0,0.007,0.23,5.0,0.36752099999999976
98.0,150.0,0.005,0.42,3.2,0.2883140000000013
103.3,350.0,0.009,0.26,4.2,0.27559900000000204
135.0,270.0,0.006,0.84,37.3,0.4737369999999957
138.5,380.0,0.001,0.51,7.4,0.4648449999999941
106.5,310.0,0.006,0.65,28.5,0.4736589999999957
115.6,260.0,0.015,0.31,6.9,0.4591209999999953
119.0,245.0,0.008,0.32,3.0,0.26722200000000085
114.0,140.0,0.011,0.53,6.2,0.457137999999995
112.4,160.0,0.009,0.53,11.4,0.45200299999999616
124.3,240.0,0.005,0.47,5.8,0.4419649999999953
152.0,170.0,0.012,0.55,3.6,0.3279059999999997
104.8,400.0,0.005,0.65,48.2,0.4736589999999957
129.8,200.0,0.027,0.43,25.8,0.46728799999999626
114.0,210.0,0.008,0.17,13.4,0.46338999999999686
93.0,190.0,0.018,0.897,5.2,0.4427039999999961
110.0,220.0,0.033,0.42,8.1,0.4594779999999945
121.6,235.0,0.016,0.47,5.9,0.4417949999999953
136.0,330.0,0.014,0.58,9.1,0.4817399999999941
130.3,240.0,0.018,0.46,6.0,0.44879399999999553
103.5,250.0,0.015,0.42,2.9,0.2775760000000008
118.1,160.0,0.007,0.45,4.2,0.3017050000000016
108.4,260.0,0.005,0.59,6.0,0.454921999999995
132.2,130.0,0.012,0.5,4.7,0.32730700000000007
154.0,155.0,0.01,0.68,61.3,0.4736589999999957
109.4,250.0,0.025,0.45,5.6,0.4319599999999956
106.8,230.0,0.043,0.77,21.4,0.4736589999999957
111.0,200.0,0.016,0.47,6.0,0.4495139999999955
145.6,500.0,0.043,0.76,6.6,0.4629239999999948
143.7,250.0,0.047,0.34,7.9,0.45926099999999465
104.8,250.0,0.05,1.96,13.4,0.5218139999999977
108.0,160.0,0.017,0.72,46.4,0.4736589999999957
121.8,300.0,0.011,0.29,1.6,0.16929999999999995
117.0,145.0,0.011,0.44,6.8,0.45964099999999525
112.3,250.0,0.055,0.91,90.3,0.4857579999999955
186.7,185.0,0.018,0.54,1.7,0.2709849999999977
158.9,350.0,0.017,0.38,3.4,0.2864330000000017
130.8,1000.0,0.039,0.47,2.7,0.2711960000000002
144.5,190.0,0.045,0.21,6.3,0.44974099999999556
123.8,245.0,0.047,0.7,31.3,0.4736589999999957
