pH,Month,Year,CensusYear,Total Rain (mm) 0day Total,Total Rain (mm) -3day Total,Total Rain (mm) -1day Total,TotalNitrogen,Nitrogen_Kjeldahl,Phosphorus
7.81,4,2015,2016,29.4,40.4,40.4,3.44,2.43,0.645809399999996
8.46,10,2004,2006,0.0,0.4,0.0,0.693,0.15,0.013193000000000005
8.39,8,2005,2006,0.0,0.6,0.0,0.546,0.26,0.01376050000000002
8.35,9,2010,2011,0.0,10.8,0.0,1.064,0.33,0.018173699999999907
7.7,8,2014,2016,0.0,0.0,0.0,0.68,0.22,0.015052100000000103
7.94,1,2015,2016,0.0,1.8,0.8,1.76,0.56,0.022121100000000254
7.79,6,2018,2016,0.0,6.8,6.8,2.342,1.41,0.07194100000000009
8.4,4,2017,2016,0.0,0.0,0.0,0.461,0.28,0.022425433333333345
8.49,7,2012,2011,0.0,0.0,0.0,0.964,0.21,0.012453600000000014
8.31,7,2007,2006,0.0,11.6,0.0,1.041,0.41,0.029605899999999942
8.39,8,2005,2006,0.0,0.6,0.0,0.728,0.16,0.011008899999999868
8.58,9,2015,2016,0.0,4.8,0.6,0.721,0.35,0.019760900000000085
8.35,5,2014,2016,0.0,0.8,0.2,0.56,0.37,0.013193200000000006
8.14,5,2018,2016,32.2,32.2,32.2,0.754,0.71,0.06537139999999972
8.35,6,2007,2006,0.0,7.4,0.0,0.938,0.49,0.03903310000000062
8.4,9,2014,2016,5.2,7.2,5.2,0.93,0.37,0.01845830000000021
8.26,9,2009,2011,0.0,0.0,0.0,1.122,0.26,0.010811999999999914
8.44,6,2008,2006,0.0,8.4,0.0,0.358,0.33,0.015226900000000066
7.75,8,2014,2016,0.0,0.0,0.0,0.66,0.29,0.019453299999999913
6.52,12,2018,2016,0.0,0.0,0.0,2.794,0.66,0.016364200000000054
8.07,7,2018,2016,3.2,52.3,12.7,1.872,0.78,0.04659059999999996
7.89,10,2019,2016,11.4,11.4,11.4,1.244,1.22,0.046363399999999694
