"Oxygen, Dissolved (% Saturation)","Depth, Sample (Field)",Nitrite,"Nitrogen, Total Kjeldahl (TKN)","Solids, Suspended (TSS)",Phosphorus
131.0,300.0,0.003,1.0,11.9,0.47
99.0,340.0,0.049,0.37,4.8,0.31
120.0,350.0,0.009,0.51,4.6,0.33
118.7,330.0,0.047,0.45,25.2,0.47
91.7,130.0,0.011,1.83,241.0,0.51
97.9,635.0,0.033,0.63,64.2,0.47
115.0,300.0,0.005,0.44,5.5,0.43
147.9,410.0,0.008,0.54,10.5,0.47
119.3,210.0,0.004,0.49,2.9,0.28
104.1,285.0,0.011,0.33,1.6,0.2
104.9,210.0,0.011,0.09,3.5,0.22
107.0,210.0,0.029,1.47,34.4,0.5
121.0,175.0,0.056,0.34,2.2,0.21
128.2,260.0,0.013,0.56,13.8,0.47
106.0,100.0,0.009,0.45,2.7,0.27
168.8,255.0,0.028,0.47,2.2,0.22
108.0,230.0,0.019,0.28,8.4,0.46
108.4,500.0,0.034,0.74,70.9,0.47
108.9,90.0,0.007,0.39,6.8,0.46
102.7,150.0,0.013,1.3,6.3,0.49
108.0,200.0,0.055,0.39,4.6,0.31
124.0,180.0,0.007,0.43,4.2,0.3
128.4,135.0,0.024,0.36,1.5,0.19
108.0,440.0,0.028,0.02,14.5,0.46
139.4,340.0,0.039,0.21,5.7,0.43
118.1,285.0,0.061,0.3,4.4,0.29
108.0,180.0,0.02,0.69,9.5,0.48
143.5,165.0,0.006,0.68,15.2,0.47
124.2,210.0,0.027,0.48,2.6,0.25
86.0,145.0,0.005,0.47,12.4,0.45
117.9,230.0,0.005,2.25,4.0,0.42
131.0,235.0,0.011,0.16,111.0,0.46
115.0,390.0,0.023,0.48,26.2,0.47
117.9,135.0,0.016,0.42,2.2,0.21
146.6,240.0,0.034,0.39,4.3,0.3
132.7,300.0,0.011,0.55,35.0,0.47
124.4,365.0,0.028,0.41,45.5,0.47
130.0,180.0,0.017,0.45,2.7,0.27
113.0,270.0,0.012,0.35,6.9,0.46
114.7,220.0,0.011,0.53,4.6,0.34
129.0,290.0,0.014,0.36,2.3,0.21
135.0,240.0,0.013,0.17,5.4,0.42
154.3,140.0,0.002,0.54,1.7,0.27
100.0,260.0,0.01,0.47,5.0,0.38
115.0,130.0,0.005,1.37,26.3,0.5
110.8,250.0,0.007,0.23,5.0,0.37
98.0,150.0,0.005,0.42,3.2,0.29
103.3,350.0,0.009,0.26,4.2,0.28
135.0,270.0,0.006,0.84,37.3,0.47
138.5,380.0,0.001,0.51,7.4,0.46
106.5,310.0,0.006,0.65,28.5,0.47
115.6,260.0,0.015,0.31,6.9,0.46
119.0,245.0,0.008,0.32,3.0,0.27
114.0,140.0,0.011,0.53,6.2,0.46
112.4,160.0,0.009,0.53,11.4,0.45
124.3,240.0,0.005,0.47,5.8,0.44
152.0,170.0,0.012,0.55,3.6,0.33
104.8,400.0,0.005,0.65,48.2,0.47
129.8,200.0,0.027,0.43,25.8,0.47
114.0,210.0,0.008,0.17,13.4,0.46
93.0,190.0,0.018,0.897,5.2,0.44
110.0,220.0,0.033,0.42,8.1,0.46
121.6,235.0,0.016,0.47,5.9,0.44
136.0,330.0,0.014,0.58,9.1,0.48
130.3,240.0,0.018,0.46,6.0,0.45
103.5,250.0,0.015,0.42,2.9,0.28
118.1,160.0,0.007,0.45,4.2,0.3
108.4,260.0,0.005,0.59,6.0,0.45
132.2,130.0,0.012,0.5,4.7,0.33
154.0,155.0,0.01,0.68,61.3,0.47
109.4,250.0,0.025,0.45,5.6,0.43
106.8,230.0,0.043,0.77,21.4,0.47
111.0,200.0,0.016,0.47,6.0,0.45
145.6,500.0,0.043,0.76,6.6,0.46
143.7,250.0,0.047,0.34,7.9,0.46
104.8,250.0,0.05,1.96,13.4,0.52
108.0,160.0,0.017,0.72,46.4,0.47
121.8,300.0,0.011,0.29,1.6,0.17
117.0,145.0,0.011,0.44,6.8,0.46
112.3,250.0,0.055,0.91,90.3,0.49
186.7,185.0,0.018,0.54,1.7,0.27
158.9,350.0,0.017,0.38,3.4,0.29
130.8,1000.0,0.039,0.47,2.7,0.27
144.5,190.0,0.045,0.21,6.3,0.45
123.8,245.0,0.047,0.7,31.3,0.47
122.7,230.0,0.007,0.2,5.6,0.43
111.7,245.0,0.003,4.1,7.0,1.28
122.3,165.0,0.022,0.76,8.1,0.47
69.1,100.0,0.02,0.49,8.8,0.48
142.4,400.0,0.003,0.58,12.4,0.45
107.2,270.0,0.01,0.72,13.1,0.47
147.2,170.0,0.007,0.88,15.4,0.47
